Points,Username,Comment
0,abigeorgieva,Solution file not found!
0,acennn,Compilation failed!
82,achoraev,
0,ada.andreev,Solution file not found!
0,adachenski,Solution file not found!
79.5,AdrianApostolov,
0,adriannn1,Solution file not found!
100,ageorgiev,
83,ahansb,
41.8,akfilipov,
54.5,alaraKalama,
57,aleks.qnovska,
96,Aleksandra92,
76.75,alex.bul.10,
51.75,alexizvely,
57.35,alexKkirilov,
55,Alex_H,
0,aliv59,Solution file not found!
0,Allexio86,Solution file not found!
98.5,anarhisthristov,
100,andrei_pl,
88,Andrew93,
0,Andrian_Ivanov,Solution file not found!
19.6,Andro0,
100,anto84,
90.5,antoanelenkov,
90.5,antonina.qnkova,
82.25,apch2,
100,apomarinov,
92,ar1m4n,
77,Arathor,
100,argidux,
100,avalkov,
0,AyrFX,Solution file not found!
0,b.gyulmezov,Solution file not found!
71.5,Bai.gundi,
100,baretata,
81,BaSk3T,
98.5,batmanveliki,
87.5,bbakev,
43,bbojkov,
85,beardhammer,
77,beliconfused,
88.5,BiSirakov,
18.15,bistra_g,
83,Bizuuu,
98.5,bkerefeyski,
92,BladeScar,
62.75,bminchev,
92,Bobsun,
100,bojanin,
92,Bonevm01,
64,Boray,
100,boris.stoyanovv,
88,BorislavaJ,
34.3,borisov.kiril760,
67,borparo,
0,boyan.slavov,Solution file not found!
87.5,Boyan1912,
100,boyana.ts,
34.7,boychostaykov,
10,boytchoteofilov,
56.5,Bruno,
80,c.l.angelov,
0,cecodbg,Solution file not found!
0,cecomilchev,Solution file not found!
100,cecunqk,
0,chezza,Solution file not found!
74,chunk,
0,COOLER,Solution file not found!
67.5,custom.made,
28.1,cvetelina,
85,D.Yanis,
98.75,Dagger,
0,daniela.taneva,Solution file not found!
77,DanielPetrov,
40,daniel_tsonkov,
0,danio,Solution file not found!
90.5,danisio,
63.25,dani_Ivanov,
71.5,DanteSparda,
96.75,dany90,
88,DareDev1l,
0,Das8Beste,Solution file not found!
44,datavelizar,
59,dboycheva,
14.1,dchakov,
0,ddonchev,Solution file not found!
90.75,decho,
87.5,DennyGD,
100,dentia,
0,developer2015,Solution file not found!
0,diana.ivanova,Solution file not found!
22.35,diana.nikolova,
0,didobat,Solution file not found!
